,amha1245,basq1248,beng1280,nucl1310,cebu1242,cent1972,dani1285,dutc1256,stan1293,fili1244,finn1318,stan1290,stan1295,mode1248,guja1252,hait1244,haus1257,hind1269,hung1274,nucl1417,indo1316,west2369,iris1253,ital1282,nucl1643,java1254,nucl1305,kore1280,kirg1245,lith1251,mala1464,mara1378,nepa1254,pedi1238,nyan1308,panj1256,plat1254,poli1260,port1283,russ1263,sout1528,shon1251,sind1272,sinh1246,soma1255,sout2649,stan1288,stan1306,sund1252,swah1253,swed1254,tami1289,telu1262,thai1261,tosk1239,nucl1301,ukra1253,urdu1245,viet1252,nucl1347,xhos1239,yoru1245,zulu1248,stan1318,mand1415
amha1245,0.00019999999494757503,0.49950000643730164,0.535099983215332,0.5325000286102295,0.5978999733924866,0.7319999933242798,0.4964999854564667,0.5404999852180481,0.5347999930381775,0.4918999969959259,0.5081999897956848,0.5507000088691711,0.5347999930381775,0.5529999732971191,0.5202000141143799,0.6047999858856201,0.5382999777793884,0.5126000046730042,0.46239998936653137,0.5705999732017517,0.5397999882698059,0.49959999322891235,0.5665000081062317,0.5127999782562256,0.5249999761581421,0.5769000053405762,0.4440999925136566,0.5163000226020813,0.5081999897956848,0.4625000059604645,0.4523000121116638,0.4810999929904938,0.6175000071525574,0.6488999724388123,0.5792999863624573,0.5167999863624573,0.5949000120162964,0.5113999843597412,0.5145999789237976,0.5223000049591064,0.46540001034736633,0.5590000152587891,0.5418999791145325,0.4848000109195709,0.548799991607666,0.6066,0.5284000039100647,0.5759000182151794,0.5662000179290771,0.5468999743461609,0.5968000292778015,0.4772999882698059,0.4819999933242798,0.5909000039100647,0.48350000381469727,0.4571000039577484,0.46869999170303345,0.5644000172615051,0.6549000144004822,0.5440999865531921,0.57669997215271,0.6194999814033508,0.5529999732971191,0.5855000019073486,0.5465999841690063
basq1248,0.49950000643730164,0.0,0.5121999979019165,0.593500018119812,0.5715000033378601,0.7491000294685364,0.5516999959945679,0.5597000122070312,0.5781000256538391,0.5167999863624573,0.5557000041007996,0.5613999962806702,0.5702000260353088,0.5293999910354614,0.504800021648407,0.5758000016212463,0.5411999821662903,0.4830000102519989,0.5296000242233276,0.5983999967575073,0.5426999926567078,0.5313000082969666,0.5440000295639038,0.515999972820282,0.5823000073432922,0.5882999897003174,0.516700029373169,0.582099974155426,0.5471000075340271,0.5231999754905701,0.504800021648407,0.5318999886512756,0.6607999801635742,0.6169999837875366,0.6004999876022339,0.5033000111579895,0.5703999996185303,0.5145999789237976,0.5177000164985657,0.534600019454956,0.4480000138282776,0.5874999761581421,0.5120000243186951,0.48820000886917114,0.5094000101089478,0.6043,0.5027999877929688,0.5393000245094299,0.5879999995231628,0.5582000017166138,0.5992000102996826,0.5558000206947327,0.5464000105857849,0.5932999849319458,0.534600019454956,0.5407000184059143,0.5291000008583069,0.5325000286102295,0.6252999901771545,0.5382999777793884,0.5964999794960022,0.5756999850273132,0.5727999806404114,0.5982000231742859,0.5325000286102295
beng1280,0.535099983215332,0.5121999979019165,0.0,0.4921000003814697,0.6136999726295471,0.7416999936103821,0.5282999873161316,0.5271999835968018,0.5217999815940857,0.47119998931884766,0.5203999876976013,0.5135999917984009,0.5299999713897705,0.6033999919891357,0.3481999933719635,0.5903000235557556,0.5735999941825867,0.3587999939918518,0.5297999978065491,0.5544999837875366,0.5677000284194946,0.565500020980835,0.5436999797821045,0.5936999917030334,0.5083000063896179,0.5415999889373779,0.40779998898506165,0.5002999901771545,0.5115000009536743,0.5048999786376953,0.3952000141143799,0.3682999908924103,0.6323000192642212,0.6728000044822693,0.6050000190734863,0.3783999979496002,0.61080002784729,0.5407000184059143,0.5519000291824341,0.5684000253677368,0.5267999768257141,0.609499990940094,0.41670000553131104,0.34929999709129333,0.4668999910354614,0.5904,0.5993000268936157,0.6018999814987183,0.5837000012397766,0.6126000285148621,0.5239999890327454,0.4715999960899353,0.3691999912261963,0.531000018119812,0.5853000283241272,0.5569000244140625,0.519599974155426,0.3871999979019165,0.590399980545044,0.5547000169754028,0.6100999712944031,0.5627999901771545,0.6190000176429749,0.6116999983787537,0.5325999855995178
nucl1310,0.5325000286102295,0.593500018119812,0.4921000003814697,0.0,0.6413000226020813,0.7207000255584717,0.5956000089645386,0.5489000082015991,0.4925000071525574,0.4909000098705292,0.5440000295639038,0.5821999907493591,0.535099983215332,0.6104000210762024,0.49239999055862427,0.6414999961853027,0.5958999991416931,0.5296000242233276,0.5268999934196472,0.5260000228881836,0.5199000239372253,0.5814999938011169,0.5903000235557556,0.5927000045776367,0.4860000014305115,0.5667999982833862,0.5317999720573425,0.46779999136924744,0.5611000061035156,0.5554999709129333,0.5200999975204468,0.5008000135421753,0.651199996471405,0.6765000224113464,0.6141999959945679,0.517799973487854,0.5843999981880188,0.5803999900817871,0.5665000081062317,0.5927000045776367,0.5785999894142151,0.6330000162124634,0.5098000168800354,0.5317999720573425,0.5489000082015991,0.5996,0.6152999997138977,0.5835000276565552,0.5644999742507935,0.5799000263214111,0.5634999871253967,0.534500002861023,0.5097000002861023,0.4814999997615814,0.5842000246047974,0.5462999939918518,0.5526000261306763,0.5468999743461609,0.5640000104904175,0.5608000159263611,0.5927000045776367,0.571399986743927,0.6340000033378601,0.6513000130653381,0.579200029373169
cebu1242,0.5978999733924866,0.5715000033378601,0.6136999726295471,0.6413000226020813,0.0,0.7936999797821045,0.527400016784668,0.609000027179718,0.5745999813079834,0.48510000109672546,0.5432000160217285,0.5814999938011169,0.6111000180244446,0.5634999871253967,0.6074000000953674,0.43799999356269836,0.5241000056266785,0.6013000011444092,0.5299000144004822,0.5652999877929688,0.4372999966144562,0.5396999716758728,0.49549999833106995,0.5321999788284302,0.6578999757766724,0.48750001192092896,0.6216999888420105,0.6266000270843506,0.6215000152587891,0.6074000000953674,0.635699987411499,0.6478000283241272,0.7346000075340271,0.5063999891281128,0.4239000082015991,0.6029999852180481,0.47540000081062317,0.5357999801635742,0.5285000205039978,0.5742999911308289,0.5254999995231628,0.531000018119812,0.6057000160217285,0.6312000155448914,0.5999000072479248,0.6699,0.5609999895095825,0.5112000107765198,0.41830000281333923,0.5343000292778015,0.5932000279426575,0.6643000245094299,0.657800018787384,0.4715000092983246,0.542900025844574,0.6158000230789185,0.5342000126838684,0.6237999796867371,0.5372999906539917,0.5105000138282776,0.5212000012397766,0.48249998688697815,0.5223000049591064,0.42660000920295715,0.5909000039100647
cent1972,0.7319999933242798,0.7491000294685364,0.7416999936103821,0.7207000255584717,0.7936999797821045,0.00019999999494757503,0.7394000291824341,0.7443000078201294,0.7897999882698059,0.6804999709129333,0.7448999881744385,0.8069999814033508,0.7455999851226807,0.7764000296592712,0.7258999943733215,0.7328000068664551,0.8112999796867371,0.7645999789237976,0.722100019454956,0.7882999777793884,0.7753000259399414,0.7328000068664551,0.7972999811172485,0.7508999705314636,0.7142000198364258,0.7795000076293945,0.7060999870300293,0.7026000022888184,0.7448999881744385,0.7095999717712402,0.7258999943733215,0.7210999727249146,0.5216000080108643,0.7179999947547913,0.7806000113487244,0.7562000155448914,0.8248999714851379,0.7620000243186951,0.7940999865531921,0.7343999743461609,0.7479000091552734,0.8029000163078308,0.7527999877929688,0.7226999998092651,0.7592999935150146,0.8305,0.7657999992370605,0.7612000107765198,0.7612000107765198,0.8112999796867371,0.7657999992370605,0.7026000022888184,0.7416999936103821,0.8016999959945679,0.7833999991416931,0.7278000116348267,0.7566999793052673,0.7304999828338623,0.8357999920845032,0.7799000144004822,0.7993999719619751,0.7821000218391418,0.7918000221252441,0.7785999774932861,0.7390000224113464
dani1285,0.4964999854564667,0.5516999959945679,0.5282999873161316,0.5956000089645386,0.527400016784668,0.7394000291824341,0.0,0.4717999994754791,0.4641999900341034,0.45840001106262207,0.4311999976634979,0.46320000290870667,0.4302999973297119,0.47850000858306885,0.5051000118255615,0.46810001134872437,0.503000020980835,0.5404999852180481,0.4659000039100647,0.5652999877929688,0.47540000081062317,0.5396999716758728,0.5270000100135803,0.4754999876022339,0.6191999912261963,0.5548999905586243,0.5092999935150146,0.5461000204086304,0.5533999800682068,0.5267000198364258,0.5267000198364258,0.4832000136375427,0.5928999781608582,0.5662000179290771,0.5392000079154968,0.5307000279426575,0.5561000108718872,0.4706999957561493,0.47429999709129333,0.43880000710487366,0.40299999713897705,0.5925999879837036,0.5608999729156494,0.5092999935150146,0.5723000168800354,0.6699,0.4715999960899353,0.4862000048160553,0.4862000048160553,0.5837000012397766,0.4352000057697296,0.5565999746322632,0.5673999786376953,0.5386000275611877,0.3993000090122223,0.5604000091552734,0.4050999879837036,0.5760999917984009,0.5976999998092651,0.5105000138282776,0.5534999966621399,0.5194000005722046,0.6025999784469604,0.48510000109672546,0.5623999834060669
dutc1256,0.5404999852180481,0.5597000122070312,0.5271999835968018,0.5489000082015991,0.609000027179718,0.7443000078201294,0.4717999994754791,0.0,0.4311000108718872,0.529699981212616,0.4625999927520752,0.3831999897956848,0.27090001106262207,0.517300009727478,0.5109000205993652,0.5745999813079834,0.5295000076293945,0.4925999939441681,0.4657000005245209,0.4984000027179718,0.508899986743927,0.499099999666214,0.5239999890327454,0.43389999866485596,0.5759000182151794,0.5289000272750854,0.5734000205993652,0.5507000088691711,0.49959999322891235,0.5109000205993652,0.586899995803833,0.5536999702453613,0.6751000285148621,0.6445000171661377,0.5641999840736389,0.5033000111579895,0.5726000070571899,0.5029000043869019,0.4108999967575073,0.4742000102996826,0.504800021648407,0.5734000205993652,0.4950000047683716,0.5482000112533569,0.5407999753952026,0.5858,0.499099999666214,0.5220999717712402,0.541700005531311,0.5543000102043152,0.3986999988555908,0.5925999879837036,0.5515000224113464,0.5450999736785889,0.4934000074863434,0.5299999713897705,0.4408999979496002,0.5117999911308289,0.5285000205039978,0.454800009727478,0.5299999713897705,0.5584999918937683,0.5999000072479248,0.6062999963760376,0.5543000102043152
stan1293,0.5347999930381775,0.5781000256538391,0.5217999815940857,0.4925000071525574,0.5745999813079834,0.7897999882698059,0.4641999900341034,0.4311000108718872,0.0,0.5224999785423279,0.4659999907016754,0.4453999996185303,0.39559999108314514,0.4846000075340271,0.4957999885082245,0.5562999844551086,0.48019999265670776,0.4878000020980835,0.4869000017642975,0.5103999972343445,0.4627000093460083,0.5382999777793884,0.5184000134468079,0.46779999136924744,0.5949000120162964,0.5041000247001648,0.515999972820282,0.5358999967575073,0.5540000200271606,0.5311999917030334,0.5311999917030334,0.503600001335144,0.7017999887466431,0.6137999892234802,0.5938000082969666,0.49000000953674316,0.5485000014305115,0.5059000253677368,0.4043999910354614,0.4869999885559082,0.48890000581741333,0.583899974822998,0.5060999989509583,0.5335999727249146,0.5192000269889832,0.5836,0.46369999647140503,0.5149999856948853,0.5149999856948853,0.5486999750137329,0.45249998569488525,0.5616999864578247,0.5134000182151794,0.475600004196167,0.44780001044273376,0.5644000172615051,0.44449999928474426,0.5232999920845032,0.48669999837875366,0.4390000104904175,0.5587000250816345,0.5422999858856201,0.6097999811172485,0.579200029373169,0.5407000184059143
fili1244,0.4918999969959259,0.5167999863624573,0.47119998931884766,0.4909000098705292,0.48510000109672546,0.6804999709129333,0.45840001106262207,0.529699981212616,0.5224999785423279,0.0,0.48510000109672546,0.5594000220298767,0.5324000120162964,0.579800009727478,0.4542999863624573,0.5062000155448914,0.550599992275238,0.48910000920295715,0.4832000136375427,0.5083000063896179,0.4316999912261963,0.4666000008583069,0.4909000098705292,0.5170000195503235,0.5213000178337097,0.49459999799728394,0.44620001316070557,0.5091999769210815,0.5181000232696533,0.5332000255584717,0.46619999408721924,0.47839999198913574,0.5722000002861023,0.5625,0.4986000061035156,0.49720001220703125,0.5299000144004822,0.49959999322891235,0.4918999969959259,0.5602999925613403,0.4625000059604645,0.5268999934196472,0.4569000005722046,0.45840001106262207,0.5196999907493591,0.6724,0.5465999841690063,0.4814000129699707,0.4683000147342682,0.5404999852180481,0.5199000239372253,0.47450000047683716,0.5034999847412109,0.47839999198913574,0.5170000195503235,0.5468999743461609,0.5192999839782715,0.5212000012397766,0.554099977016449,0.5060999989509583,0.527999997138977,0.4903999865055084,0.5698999762535095,0.4943000078201294,0.5586000084877014
